value,thetas,thetaPrime,PnL,capitalGains
1000000.0,0.0,1000000.0,0.0,0.0
1000017.18254,1000017.18254,0.0,-0.0,17.18254
1003858.6763456493,1003858.6763456493,0.0,3841.493805649379,0.0
1021074.9405870395,1021074.9405870395,0.0,17216.264241390138,0.0
1025914.4581932686,1025914.4581932686,0.0,4839.517606229148,0.0
1010695.3775444245,1010695.3775444245,0.0,-15219.080648844154,0.0
1024559.302333098,1024559.302333098,0.0,13863.92478867352,0.0
1043096.6623313618,1043096.6623313618,0.0,18537.359998263764,0.0
1033896.1970400027,1033896.1970400027,0.0,-9200.465291359094,0.0
1027705.5250889744,1027705.5250889744,0.0,-6190.671951028234,0.0
1051576.7338524633,1051576.7338524633,0.0,23871.208763488903,0.0
1045719.2373277806,1045719.2373277806,0.0,-5857.496524682705,0.0
1029179.2533641208,1029179.2533641208,0.0,-16539.983963659746,0.0
1025330.286536534,1025330.286536534,0.0,-3848.9668275868576,0.0
1038504.8788945015,1038504.8788945015,0.0,13174.592357967476,0.0
1040662.4654128056,1040662.4654128056,0.0,2157.5865183040178,0.0
1035145.1250406893,1035145.1250406893,0.0,-5517.340372116325,0.0
1032965.7874479078,1032965.7874479078,0.0,-2179.337592781358,0.0
1028785.7651092532,1028785.7651092532,0.0,-4180.022338654636,0.0
1036945.9012839783,1036945.9012839783,0.0,8160.13617472497,0.0
1048400.2439360422,1048400.2439360422,0.0,11454.342652063895,0.0
1048888.1772539513,1048888.1772539513,0.0,487.9333179091604,0.0
1033326.9001313631,1033326.9001313631,0.0,-15561.277122588266,0.0
1025455.29471887,1025455.29471887,0.0,-7871.605412493124,0.0
1017920.2813411667,1017920.2813411667,0.0,-7535.013377703311,0.0
1021743.100203322,1021743.100203322,0.0,3822.818862155318,0.0
1013209.5769518804,1013209.5769518804,0.0,-8533.523251441678,0.0
1003010.5105776662,1003010.5105776662,0.0,-10199.066374214091,0.0
1010505.2082516671,1010505.2082516671,0.0,7494.6976740009095,0.0
1007651.7530116476,1007651.7530116476,0.0,-2853.4552400195357,0.0
999127.0118709037,999127.0118709037,0.0,-8524.741140743894,0.0
985935.2493004779,985935.2493004779,0.0,-13191.762570425806,0.0
992760.3644698084,992760.3644698084,0.0,6825.1151693304955,0.0
974238.5940145437,974238.5940145437,0.0,-18521.770455264734,0.0
981730.1821083582,981730.1821083582,0.0,7491.58809381461,0.0
990552.1897561662,990552.1897561662,0.0,8822.007647807919,0.0
977707.1911486671,977707.1911486671,0.0,-12844.998607499074,0.0
980195.1962941061,980195.1962941061,0.0,2488.005145438937,0.0
983682.5307507891,983682.5307507891,0.0,3487.3344566830638,0.0
972786.0975985582,972786.0975985582,0.0,-10896.433152230948,0.0
963929.561326905,963929.561326905,0.0,-8856.536271653085,0.0
985116.22945748,985116.22945748,0.0,21186.66813057496,0.0
978930.8307277234,978930.8307277234,0.0,-6185.3987297565545,0.0
983424.1678830627,983424.1678830627,0.0,4493.337155339332,0.0
984246.8028187595,984246.8028187595,0.0,822.6349356966799,0.0
987069.9482772646,987069.9482772646,0.0,2823.1454585051665,0.0
1018904.0163007064,1018904.0163007064,0.0,31834.06802344183,0.0
1023720.6186487074,1023720.6186487074,0.0,4816.602348000989,0.0
1007533.4856606752,1007533.4856606752,0.0,-16187.132988032172,0.0
1027347.7659914508,1027347.7659914508,0.0,19814.280330775557,0.0
1018163.8252914938,1018163.8252914938,0.0,-9183.940699956976,0.0
1031638.9525644929,1031638.9525644929,0.0,13475.127272999123,0.0
1023123.6003681378,1023123.6003681378,0.0,-8515.352196355154,0.0
1013945.4065487159,1013945.4065487159,0.0,-9178.193819421953,0.0
1027080.4698452306,1027080.4698452306,0.0,13135.063296514722,0.0
1028558.3274632663,1028558.3274632663,0.0,1477.857618035741,0.0
1032022.7516630049,1032022.7516630049,0.0,3464.4241997385234,0.0
1010525.5911328084,1010525.5911328084,0.0,-21497.160530196503,0.0
1011330.1232496403,1011330.1232496403,0.0,804.5321168320138,0.0
1009140.1666245458,1009140.1666245458,0.0,-2189.9566250945377,0.0
1013603.463094175,1013603.463094175,0.0,4463.29646962917,0.0
1026710.8004027379,1026710.8004027379,0.0,13107.337308562894,0.0
1031413.7883688876,1031413.7883688876,0.0,4702.987966149671,0.0
1037214.7535058158,1037214.7535058158,0.0,5800.965136928093,0.0
1047678.087411654,1047678.087411654,0.0,10463.333905838215,0.0
1049142.7330305022,1049142.7330305022,0.0,1464.6456188483555,0.0
1033953.8248886347,1033953.8248886347,0.0,-15188.908141867503,0.0
1034754.9440599566,1034754.9440599566,0.0,801.1191713218545,0.0
1033557.5137140462,1033557.5137140462,0.0,-1197.4303459103235,0.0
1027367.7902580425,1027367.7902580425,0.0,-6189.723456003745,0.0
1016854.1280501963,1016854.1280501963,0.0,-10513.662207846186,0.0
1005678.5910272262,1005678.5910272262,0.0,-11175.537022970137,0.0
1008812.6537688405,1008812.6537688405,0.0,3134.062741614277,0.0
1007621.4297149805,1007621.4297149805,0.0,-1191.2240538600015,0.0
1015077.1353978114,1015077.1353978114,0.0,7455.705682830907,0.0
1009895.0075704074,1009895.0075704074,0.0,-5182.1278274041,0.0
1018344.6444520719,1018344.6444520719,0.0,8449.636881664517,0.0
1032773.3117077259,1032773.3117077259,0.0,14428.667255654005,0.0
1022938.8617379939,1022938.8617379939,0.0,-9834.449969731964,0.0
1013440.1532290645,1013440.1532290645,0.0,-9498.708508929401,0.0
1027529.005282277,1027529.005282277,0.0,14088.852053212466,0.0
1001198.6984515205,1001198.6984515205,0.0,-26330.306830756464,0.0
1023640.1893821337,1023640.1893821337,0.0,22441.490930613178,0.0
1029101.1930677503,1029101.1930677503,0.0,5461.003685616633,0.0
1020918.8377631997,1020918.8377631997,0.0,-8182.355304550606,0.0
1016055.9575488778,1016055.9575488778,0.0,-4862.880214321947,0.0
1003877.8326671164,1003877.8326671164,0.0,-12178.124881761396,0.0
1000350.323218985,1000350.323218985,0.0,-3527.5094481313954,0.0
1009457.2161111475,1009457.2161111475,0.0,9106.89289216252,0.0
1018560.7531961183,1018560.7531961183,0.0,9103.537084970687,0.0
1010379.562740751,1010379.562740751,0.0,-8181.190455367352,0.0
1000872.737491367,1000872.737491367,0.0,-9506.82524938398,0.0
997017.0269140973,997017.0269140973,0.0,-3855.710577269794,0.0
994823.4251414285,994823.4251414285,0.0,-2193.601772668749,0.0
986653.3503874954,986653.3503874954,0.0,-8170.074753933168,0.0
979483.1578601152,979483.1578601152,0.0,-7170.192527380244,0.0
976298.2955116978,976298.2955116978,0.0,-3184.862348417382,0.0
978424.3776002334,978424.3776002334,0.0,2126.08208853564,0.0
973914.2498324981,973914.2498324981,0.0,-4510.127767735236,0.0
970068.9427436291,970068.9427436291,0.0,-3845.3070888690954,0.0
975511.2890133733,975511.2890133733,0.0,5442.346269744238,0.0
986256.8263405327,986256.8263405327,0.0,10745.537327159382,0.0
993682.8585265254,993682.8585265254,0.0,7426.032185992638,0.0
997403.8688766639,997403.8688766639,0.0,3721.010350138441,0.0
988232.1183435885,988232.1183435885,0.0,-9171.750533075261,0.0
986704.2331252992,986704.2331252992,0.0,-1527.8852182893588,0.0
991154.93580867,991154.93580867,0.0,4450.70268337074,0.0
977009.1686993876,977009.1686993876,0.0,-14145.767109282415,0.0
987435.4650203229,987435.4650203229,0.0,10426.296320935404,0.0
986240.5761228408,986240.5761228408,0.0,-1194.888897482228,0.0
987701.3318592593,987701.3318592593,0.0,1460.7557364184938,0.0
978212.1675250897,978212.1675250897,0.0,-9489.164334169589,0.0
984317.3789293832,984317.3789293832,0.0,6105.211404293534,0.0
993073.4913155967,993073.4913155967,0.0,8756.112386213448,0.0
989557.9687561574,989557.9687561574,0.0,-3515.522559439274,0.0
995988.5990167803,995988.5990167803,0.0,6430.630260622809,0.0
997776.9455247516,997776.9455247516,0.0,1788.3465079712787,0.0
986309.5575821759,986309.5575821759,0.0,-11467.387942575633,0.0
995056.3164602796,995056.3164602796,0.0,8746.758878103687,0.0
995849.8854259133,995849.8854259133,0.0,793.5689656335899,0.0
992668.7671888412,992668.7671888412,0.0,-3181.1182370720676,0.0
996773.6091420798,996773.6091420798,0.0,4104.841953238538,0.0
980020.7569158991,980020.7569158991,0.0,-16752.85222618077,0.0
989422.0430973374,989422.0430973374,0.0,9401.286181438223,0.0
984113.3906369853,984113.3906369853,0.0,-5308.652460352016,0.0
974627.799404929,974627.799404929,0.0,-9485.591232056222,0.0
961829.9461664539,961829.9461664539,0.0,-12797.853238475214,0.0
956662.8720264628,956662.8720264628,0.0,-5167.074139991098,0.0
958127.3448628195,958127.3448628195,0.0,1464.47283635676,0.0
962243.1441268726,962243.1441268726,0.0,4115.799264053128,0.0
972983.5046448733,972983.5046448733,0.0,10740.36051800064,0.0
982725.8715897519,982725.8715897519,0.0,9742.366944878588,0.0
978222.1857110665,978222.1857110665,0.0,-4503.6858786854245,0.0
978024.9885418488,978024.9885418488,0.0,-197.19716921759246,0.0
981469.6619213665,981469.6619213665,0.0,3444.673379517581,0.0
991533.432344794,991533.432344794,0.0,10063.770423427592,0.0
979419.1090439303,979419.1090439303,0.0,-12114.323300863736,0.0
979883.5498038135,979883.5498038135,0.0,464.4407598831441,0.0
976377.9600931855,976377.9600931855,0.0,-3505.5897106278726,0.0
974527.2053746436,974527.2053746436,0.0,-1850.754718541941,0.0
975653.6427721286,975653.6427721286,0.0,1126.4373974850007,0.0
957272.889046405,957272.889046405,0.0,-18380.753725723633,0.0
962028.7169225081,962028.7169225081,0.0,4755.827876103139,0.0
963807.9813046828,963807.9813046828,0.0,1779.2643821747536,0.0
948662.1687760211,948662.1687760211,0.0,-15145.812528661636,0.0
940843.1635067028,940843.1635067028,0.0,-7819.00526931833,0.0
920442.9363288273,920442.9363288273,0.0,-20400.227177875473,0.0
936140.9417915686,936140.9417915686,0.0,15698.005462741368,0.0
927998.2159930188,927998.2159930188,0.0,-8142.725798549819,0.0
937399.7227902137,937399.7227902137,0.0,9401.506797194776,0.0
941502.9202026029,941502.9202026029,0.0,4103.197412389248,0.0
928071.0268607723,928071.0268607723,0.0,-13431.893341830597,0.0
924236.5783479238,924236.5783479238,0.0,-3834.448512848497,0.0
923049.1487754914,923049.1487754914,0.0,-1187.4295724324495,0.0
917564.2999213679,917564.2999213679,0.0,-5484.848854123467,0.0
910759.345809476,910759.345809476,0.0,-6804.954111891955,0.0
906270.7291491197,906270.7291491197,0.0,-4488.616660356279,0.0
909713.5371670882,909713.5371670882,0.0,3442.8080179685053,0.0
897629.254244408,897629.254244408,0.0,-12084.282922680275,0.0
903384.0264635711,903384.0264635711,0.0,5754.772219163189,0.0
923664.3318665838,923664.3318665838,0.0,20280.30540301264,0.0
918517.2227167218,918517.2227167218,0.0,-5147.109149861981,0.0
919973.1580290474,919973.1580290474,0.0,1455.9353123255942,0.0
921098.5985208746,921098.5985208746,0.0,1125.4404918271769,0.0
930141.0467983896,930141.0467983896,0.0,9042.448277515015,0.0
929284.6478968238,929284.6478968238,0.0,-856.3989015657653,0.0
932715.5624320213,932715.5624320213,0.0,3430.9145351973943,0.0
919325.5160154197,919325.5160154197,0.0,-13390.046416601537,0.0
907891.570305518,907891.570305518,0.0,-11433.945709901802,0.0
908691.1387258085,908691.1387258085,0.0,799.5684202904398,0.0
911142.2813262495,911142.2813262495,0.0,2451.1426004409996,0.0
913923.0291406213,913923.0291406213,0.0,2780.7478143718636,0.0
908444.7468462499,908444.7468462499,0.0,-5478.282294371402,0.0
912215.49556941,912215.49556941,0.0,3770.7487231601417,0.0
912352.7595377191,912352.7595377191,0.0,137.26396830909306,0.0
906878.4299602438,906878.4299602438,0.0,-5474.329577475266,0.0
901736.446540623,901736.446540623,0.0,-5141.983419620824,0.0
904845.0013280981,904845.0013280981,0.0,3108.554787475153,0.0
900035.4020962184,900035.4020962184,0.0,-4809.599231879644,0.0
901494.1119913816,901494.1119913816,0.0,1458.7098951632247,0.0
880530.2988214155,880530.2988214155,0.0,-20963.813169966106,0.0
886937.1379837567,886937.1379837567,0.0,6406.839162341257,0.0
867303.7064560059,867303.7064560059,0.0,-19633.43152775084,0.0
863824.8643055565,863824.8643055565,0.0,-3478.842150449452,0.0
859359.3467262158,859359.3467262158,0.0,-4465.517579340694,0.0
860495.1191054938,860495.1191054938,0.0,1135.772379277945,0.0
860971.6455398175,860971.6455398175,0.0,476.52643432372463,0.0
847877.131234719,847877.131234719,0.0,-13094.514305098572,0.0
831519.5881213956,831519.5881213956,0.0,-16357.543113323381,0.0
841246.5980011534,841246.5980011534,0.0,9727.009879757888,0.0
837768.5295528513,837768.5295528513,0.0,-3478.0684483021378,0.0
828022.3686716212,828022.3686716212,0.0,-9746.160881230102,0.0
845331.3089467953,845331.3089467953,0.0,17308.940275174158,0.0
844492.9050313027,844492.9050313027,0.0,-838.4039154926403,0.0
860472.0999457567,860472.0999457567,0.0,15979.194914454003,0.0
838860.6477190926,838860.6477190926,0.0,-21611.452226664147,0.0
852197.2832600557,852197.2832600557,0.0,13336.635540963154,0.0
839494.4342707907,839494.4342707907,0.0,-12702.848989265045,0.0
830091.7163645187,830091.7163645187,0.0,-9402.717906271928,0.0
822669.4042980887,822669.4042980887,0.0,-7422.3120664299795,0.0
808333.9969966152,808333.9969966152,0.0,-14335.407301473495,0.0
812114.222410393,812114.222410393,0.0,3780.2254137777295,0.0
822147.4694145048,822147.4694145048,0.0,10033.247004111909,0.0
829872.3889914899,829872.3889914899,0.0,7724.9195769850685,0.0
813573.2512436752,813573.2512436752,0.0,-16299.13774781461,0.0
824586.6848833038,824586.6848833038,0.0,11013.433639628574,0.0
822438.6946135728,822438.6946135728,0.0,-2147.990269731066,0.0
818647.4382566772,818647.4382566772,0.0,-3791.2563568955316,0.0
815186.6425358276,815186.6425358276,0.0,-3460.7957208496514,0.0
830977.4011329572,830977.4011329572,0.0,15790.758597129652,0.0
847948.8272515497,847948.8272515497,0.0,16971.426118592484,0.0
854363.4023649287,854363.4023649287,0.0,6414.575113379091,0.0
846601.2711230519,846601.2711230519,0.0,-7762.131241876812,0.0
857626.789254307,857626.789254307,0.0,11025.518131255152,0.0
870295.0425432976,870295.0425432976,0.0,12668.253288990583,0.0
851993.7406275216,851993.7406275216,0.0,-18301.301915775955,0.0
855435.948933631,855435.948933631,0.0,3442.20830610933,0.0
854267.2409806009,854267.2409806009,0.0,-1168.7079530299695,0.0
872192.4194028373,872192.4194028373,0.0,17925.17842223631,0.0
860488.4475501146,860488.4475501146,0.0,-11703.971852722714,0.0
869849.1723261193,869849.1723261193,0.0,9360.724776004658,0.0
873284.1212748748,873284.1212748748,0.0,3434.948948755565,0.0
877704.3181820794,877704.3181820794,0.0,4420.196907204555,0.0
876860.9906628813,876860.9906628813,0.0,-843.3275191980277,0.0
879634.4885466219,879634.4885466219,0.0,2773.497883740622,0.0
869915.6892206656,869915.6892206656,0.0,-9718.799325956259,0.0
882877.5106632793,882877.5106632793,0.0,12961.82144261375,0.0
884662.2332332929,884662.2332332929,0.0,1784.7225700136491,0.0
894658.7608899246,894658.7608899246,0.0,9996.527656631688,0.0
885273.238267689,885273.238267689,0.0,-9385.522622235627,0.0
899973.4750561405,899973.4750561405,0.0,14700.23678845141,0.0
897477.9877054434,897477.9877054434,0.0,-2495.487350697008,0.0
914078.7778980448,914078.7778980448,0.0,16600.790192601435,0.0
925077.0809721702,925077.0809721702,0.0,10998.303074125399,0.0
920274.177370407,920274.177370407,0.0,-4802.903601763137,0.0
912512.0058070236,912512.0058070236,0.0,-7762.171563383437,0.0
910345.2259154201,910345.2259154201,0.0,-2166.779891603541,0.0
913441.6106431799,913441.6106431799,0.0,3096.384727759742,0.0
932976.9107346938,932976.9107346938,0.0,19535.300091513844,0.0
955134.3680712545,955134.3680712545,0.0,22157.457336560663,0.0
956247.1661058709,956247.1661058709,0.0,1112.7980346164368,0.0
949190.366893989,949190.366893989,0.0,-7056.79921188184,0.0
952943.0936872567,952943.0936872567,0.0,3752.7267932676264,0.0
959988.380106671,959988.380106671,0.0,7045.286419414285,0.0
954516.0588945288,954516.0588945288,0.0,-5472.321212142196,0.0
951350.9322671742,951350.9322671742,0.0,-3165.1266273545407,0.0
952795.7617560553,952795.7617560553,0.0,1444.8294888810328,0.0
968720.970858594,968720.970858594,0.0,15925.209102538722,0.0
962264.059845018,962264.059845018,0.0,-6456.91101357613,0.0
954493.9180743172,954493.9180743172,0.0,-7770.141770700758,0.0
